Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,
288,19,19,18,104,
289,28,30,32,200,
290,34,23,29,78,
291,25,13,46,200,
292,14,24,17,62,
293,22,28,32,31,
294,34,34,14,29,
295,37,23,32,25,
296,34,21,23,200,
297,32,19,43,70,
298,24,11,26,19,
299,23,21,25,13,
300,29,21,41,33,
301,18,21,35,13,
302,37,29,29,178,
303,25,33,29,18,
304,33,21,25,15,
305,56,22,23,30,
306,86,24,22,13,
307,22,25,21,23,
308,29,24,21,200,
309,18,28,28,138,
310,13,21,31,39,
311,25,23,18,31,
312,40,18,19,50,
313,23,34,34,49,
314,200,28,31,150,
315,200,36,34,28,
316,200,9,29,200,
317,33,25,19,200,
318,40,10,21,200,
319,23,24,29,200,
320,200,36,26,200,
321,30,68,28,200,
322,25,26,19,200,
323,99,32,34,52,
324,24,33,15,200,
325,16,24,43,200,
326,16,27,25,121,
327,15,31,26,102,
328,85,33,20,141,
329,27,19,28,56,
330,83,26,26,55,
331,27,23,30,200,
332,14,19,31,26,
333,12,29,19,200,
334,18,38,30,27,
335,47,27,25,200,
336,35,16,45,200,
337,23,23,27,200,
338,37,31,27,200,
339,23,29,47,200,
340,25,33,70,200,
341,25,27,41,200,
342,43,22,24,200,
343,95,17,30,200,
344,21,27,31,200,
345,20,34,32,200,
346,26,18,26,49,
347,25,12,35,110,
348,24,68,21,70,
349,15,21,25,31,
350,200,14,35,59,
351,23,23,36,151,
352,22,18,17,41,
353,24,21,21,81,
354,27,60,35,14,
355,33,34,30,79,
356,19,27,18,69,
357,25,22,23,141,
358,26,20,37,32,
359,17,18,24,152,
360,19,11,21,200,
361,24,30,13,200,
362,22,52,21,200,
363,10,56,27,200,
364,37,31,23,23,
365,29,33,27,64,
366,24,20,39,200,
367,23,22,21,20,
368,12,19,27,20,
369,16,46,22,42,
370,16,38,21,13,
371,27,27,21,23,
372,14,17,30,13,
373,52,200,33,184,
374,21,52,18,124,
375,86,200,34,41,
376,24,200,29,114,
377,20,200,20,196,
378,18,200,15,108,
379,20,200,28,48,
380,29,200,33,70,
381,200,200,17,200,
382,43,200,27,200,
383,25,200,22,160,
384,19,178,45,23,
385,22,200,27,12,
386,19,200,21,16,
387,26,25,19,200,
388,22,46,62,35,
389,28,199,27,57,
390,24,79,30,57,
391,31,200,23,65,
392,23,200,27,27,
393,36,138,78,24,
394,22,200,58,68,
395,25,200,23,25,
396,32,43,51,46,
397,18,21,26,31,
398,15,200,23,14,
399,24,200,29,16,
400,15,50,19,12,
401,21,151,31,12,
402,55,200,38,16,
403,23,200,18,24,
404,21,113,31,19,
405,200,200,200,91,
406,21,200,28,54,
407,141,139,30,21,
408,58,33,26,88,
409,25,154,30,85,
410,25,200,200,29,
411,19,82,31,35,
412,26,200,192,200,
413,91,14,38,146,
414,32,68,60,11,
415,123,10,18,200,
416,21,142,200,21,
417,200,200,200,34,
418,104,138,139,200,
419,21,200,16,200,
420,11,200,41,200,
421,18,42,35,200,
422,33,200,31,200,
423,23,200,200,200,
424,30,72,20,200,
425,23,200,26,200,
426,40,200,38,200,
427,67,200,23,200,
428,49,200,200,200,
429,31,122,22,200,
430,117,105,34,200,
431,200,200,38,200,
432,35,142,37,200,
433,25,57,27,200,
434,22,50,27,200,
435,23,39,23,156,
436,26,23,44,200,
437,23,39,35,37,
438,19,16,24,102,
439,17,10,31,200,
440,30,20,46,64,
441,24,77,29,162,
442,20,54,36,69,
443,19,21,19,57,
444,38,90,35,200,
445,37,200,32,200,
446,26,200,20,89,
447,63,200,200,18,
448,26,200,29,18,
449,106,200,44,17,
450,20,57,43,12,
451,200,25,36,53,
452,28,19,27,20,
453,20,200,40,28,
454,200,200,21,15,
455,38,200,56,24,
